,id,combined_features,popularity,vote_average,points,release_date
77,150540,inside out dream cartoon imaginary friend animation family amy poehler phyllis smith richard kind bill hader lewis black drama comedy animation family pete docter 2015 film films movies movie actor actress director,128.65596399999998,8.0,6751864.990719999,2015-06-09
2522,205596,the imitation game gay england world war ii mathematician biography benedict cumberbatch keira knightley matthew goode rory kinnear allen leech history drama thriller war morten tyldum 2014 film films movies movie actor actress director,145.364591,8.0,6655372.434343999,2014-11-14
7,99861,avengers: age of ultron marvel comic sequel superhero based on comic book vision robert downey jr. chris hemsworth mark ruffalo chris evans scarlett johansson action adventure science fiction joss whedon 2015 film films movies movie actor actress director,134.27922900000002,7.3,6633273.061293901,2015-04-22
693,210577,gone girl based on novel marriage crisis disappearance cheating husband missing person ben affleck rosamund pike carrie coon neil patrick harris tyler perry mystery thriller drama david fincher 2014 film films movies movie actor actress director,143.041543,7.9,6624225.2480214,2014-10-01
287,68718,django unchained bounty hunter hero plantation society friendship jamie foxx christoph waltz leonardo dicaprio kerry washington samuel l. jackson drama western quentin tarantino 2012 film films movies movie actor actress director,82.121691,7.8,6468906.2677902,2012-12-25
330,121,the lord of the rings: the two towers elves orcs middle-earth (tolkien) hobbit based on novel elijah wood ian mckellen viggo mortensen liv tyler orlando bloom adventure fantasy action peter jackson 2002 film films movies movie actor actress director,106.914973,8.0,6403779.222808001,2002-12-18
124,109445,frozen queen musical princess betrayal snowman kristen bell idina menzel jonathan groff josh gad santino fontana animation adventure family chris buck 2013 film films movies movie actor actress director,165.125366,7.3,6382673.334681001,2013-11-27
119,272,batman begins himalaya martial arts dc comics crime fighter secret identity christian bale michael caine liam neeson katie holmes gary oldman action crime drama christopher nolan 2005 film films movies movie actor actress director,115.040024,7.5,6349346.52462,2005-06-10
98,49051,the hobbit: an unexpected journey riddle elves dwarves orcs middle-earth (tolkien) ian mckellen martin freeman richard armitage andy serkis cate blanchett adventure fantasy action peter jackson 2012 film films movies movie actor actress director,108.849621,7.0,6321877.1380590005,2012-11-26
9,209112,batman v superman: dawn of justice dc comics vigilante superhero based on comic book revenge ben affleck henry cavill gal gadot amy adams jesse eisenberg action adventure fantasy zack snyder 2016 film films movies movie actor actress director,155.790452,5.7,6219591.0571056,2016-03-23
197,671,harry potter and the philosopher's stone witch christmas party magic cutting the cord halloween daniel radcliffe rupert grint emma watson richard harris tom felton adventure fantasy family chris columbus 2001 film films movies movie actor actress director,109.984351,7.5,5779127.723295,2001-11-16
276,672,harry potter and the chamber of secrets flying car witch magic cutting the cord child hero daniel radcliffe rupert grint emma watson richard harris alan rickman adventure fantasy family chris columbus 2002 film films movies movie actor actress director,132.397737,7.4,5697207.020847,2002-11-13
25,597,titanic shipwreck iceberg ship panic titanic kate winslet leonardo dicaprio frances fisher billy zane kathy bates drama romance thriller james cameron 1997 film films movies movie actor actress director,100.025899,7.5,5672968.861785,1997-11-18
12,58,pirates of the caribbean: dead man's chest witch fortune teller bondage exotic island monster johnny depp orlando bloom keira knightley stellan skarsg\u00e5rd bill nighy adventure fantasy action gore verbinski 2006 film films movies movie actor actress director,145.84737900000005,7.0,5355807.451638002,2006-06-20
46,127585,x-men: days of future past 1970s mutant time travel marvel comic based on comic book hugh jackman james mcavoy michael fassbender jennifer lawrence halle berry action adventure fantasy science fiction bryan singer 2014 film films movies movie actor actress director,118.078691,7.5,5341879.98084,2014-05-15
614,20352,despicable me adoptive father orphanage life's dream rivalry stealing steve carell jason segel russell brand julie andrews will arnett animation family pierre coffin 2010 film films movies movie actor actress director,113.858273,7.1,5236774.636707399,2010-07-08
1465,198663,the maze runner based on novel maze post-apocalyptic dystopia escape dylan o'brien ki hong lee kaya scodelario aml ameen blake cooper action mystery science fiction thriller wes ball 2014 film films movies movie actor actress director,131.815575,7.0,4955870.173275,2014-09-10
182,102899,ant-man marvel comic superhero based on comic book aftercreditsstinger duringcreditsstinger paul rudd michael douglas evangeline lilly corey stoll bobby cannavale science fiction action adventure peyton reed 2015 film films movies movie actor actress director,120.09361,7.0,4943052.9876,2015-07-14
298,106646,the wolf of wall street corruption sex sexuality bank humor leonardo dicaprio jonah hill margot robbie kyle chandler rob reiner crime drama comedy martin scorsese 2013 film films movies movie actor actress director,95.007934,7.9,4931947.3610806,2013-12-25
29,37724,skyfall spy secret agent sociopath killer art gallery daniel craig judi dench javier bardem ralph fiennes naomie harris action adventure thriller sam mendes 2012 film films movies movie actor actress director,93.004993,6.9,4879748.7707268,2012-10-25
66,14160,up age difference central and south america balloon animation floating in the air ed asner christopher plummer jordan nagai bob peterson delroy lindo animation comedy family adventure pete docter 2009 film films movies movie actor actress director,92.201962,7.7,4877391.587838,2009-05-13
231,585,"monsters, inc. monster infant energy supply company rivalry john goodman billy crystal mary gibbs steve buscemi james coburn animation comedy family pete docter 2001 film films movies movie actor actress director",106.815545,7.5,4803495.05865,2001-11-01
176,281957,the revenant father son relationship rape based on novel mountains winter leonardo dicaprio tom hardy will poulter domhnall gleeson paul anderson western drama adventure thriller alejandro gonz\u00e1lez i\u00f1\u00e1rritu 2015 film films movies movie actor actress director,100.635882,7.3,4698769.8392856,2015-12-25
31,68721,iron man 3 terrorist war on terror tennessee malibu marvel comic robert downey jr. gwyneth paltrow don cheadle guy pearce rebecca hall action adventure science fiction shane black 2013 film films movies movie actor actress director,77.68208,6.8,4651665.096064,2013-04-18
239,49047,gravity space mission loss space astronaut trapped in space sandra bullock george clooney ed harris orto ignatiussen phaldut sharma science fiction thriller drama alfonso cuar\u00f3n 2013 film films movies movie actor actress director,110.153618,7.3,4624502.236961399,2013-09-27
426,70160,the hunger games hallucination dystopia female protagonist bow and arrow knife throwing jennifer lawrence josh hutcherson liam hemsworth woody harrelson elizabeth banks science fiction adventure fantasy gary ross 2012 film films movies movie actor actress director,68.550698,6.9,4472213.262171,2012-03-12
506,93456,despicable me 2 secret agent bakery falling in love father daughter relationship duringcreditsstinger steve carell kristen wiig benjamin bratt miranda cosgrove russell brand animation comedy family pierre coffin 2013 film films movies movie actor actress director,136.886704,7.0,4443205.5251360005,2013-06-25
1,285,pirates of the caribbean: at world's end ocean drug abuse exotic island east india trading company love of one's life johnny depp orlando bloom keira knightley stellan skarsg\u00e5rd chow yun-fat adventure fantasy action gore verbinski 2007 film films movies movie actor actress director,139.082615,6.9,4318515.195750001,2007-05-19
17,1865,pirates of the caribbean: on stranger tides sea captain mutiny sword prime minister johnny depp pen\u00e9lope cruz ian mcshane kevin mcnally geoffrey rush adventure action fantasy rob marshall 2011 film films movies movie actor actress director,135.413856,6.4,4288177.660723201,2011-05-14
1153,240832,lucy artificial intelligence telepathy intelligence drug mule telekinesis scarlett johansson morgan freeman choi min-sik amr waked julian rhind-tutt action science fiction luc besson 2014 film films movies movie actor actress director,115.241998,6.3,4267572.5247372,2014-07-14
114,674,harry potter and the goblet of fire magic dying and death broom sorcerer's apprentice school of witchcraft daniel radcliffe rupert grint emma watson ralph fiennes michael gambon adventure fantasy family mike newell 2005 film films movies movie actor actress director,101.250416,7.5,4258592.49696,2005-11-05
108,87101,terminator genisys saving the world artificial intelligence cyborg killer robot future arnold schwarzenegger jason clarke emilia clarke jai courtney j.k. simmons science fiction action thriller adventure alan taylor 2015 film films movies movie actor actress director,202.042635,5.8,4254977.484572999,2015-06-23
335,61791,rise of the planet of the apes intelligence zoo cage dystopia golden gate bridge james franco freida pinto john lithgow brian cox tom felton thriller action drama science fiction rupert wyatt 2011 film films movies movie actor actress director,138.433168,7.0,4212382.869072,2011-08-03
64,246655,x-men: apocalypse mutant supernatural powers marvel comic superhero based on comic book james mcavoy michael fassbender jennifer lawrence nicholas hoult oscar isaac science fiction bryan singer 2016 film films movies movie actor actress director,139.272042,6.4,4208021.1858048,2016-05-18
14,49521,man of steel saving the world dc comics superhero based on comic book superhuman henry cavill amy adams michael shannon kevin costner diane lane action adventure fantasy science fiction zack snyder 2013 film films movies movie actor actress director,99.398009,6.5,4108467.6050015,2013-06-12
274,98,gladiator rome gladiator arena senate roman empire russell crowe joaquin phoenix connie nielsen oliver reed richard harris action drama adventure ridley scott 2000 film films movies movie actor actress director,95.301296,7.9,4094915.6166576,2000-05-01
19,122917,the hobbit: the battle of the five armies corruption elves dwarves orcs middle-earth (tolkien) martin freeman ian mckellen richard armitage ken stott graham mctavish action adventure fantasy peter jackson 2014 film films movies movie actor actress director,120.965743,7.1,4088158.250428,2014-12-10
456,228150,fury world war ii nazis war nazi germany panzer brad pitt shia labeouf logan lerman michael pe\u00f1a jon bernthal war drama action david ayer 2014 film films movies movie actor actress director,139.575085,7.4,4075648.3120340006,2014-10-15
439,11324,shutter island based on novel island hurricane investigation psychiatric hospital leonardo dicaprio mark ruffalo ben kingsley emily mortimer michelle williams drama thriller mystery martin scorsese 2010 film films movies movie actor actress director,81.91469599999998,7.8,4048289.808076799,2010-02-18
328,12,finding nemo father son relationship harbor underwater fish tank great barrier reef albert brooks ellen degeneres alexander gould willem dafoe brad garrett animation family andrew stanton 2003 film films movies movie actor actress director,85.688789,7.6,3986859.4235607996,2003-05-30
72,297761,suicide squad dc comics shared universe anti hero secret mission villain will smith margot robbie joel kinnaman viola davis jared leto action adventure crime fantasy science fiction david ayer 2016 film films movies movie actor actress director,90.23792,5.9,3970667.003424,2016-08-02
494,8587,the lion king loss of parents wild boar uncle shaman redemption jonathan taylor thomas matthew broderick james earl jones jeremy irons moira kelly family animation drama roger allers 1994 film films movies movie actor actress director,90.457886,8.0,3890412.761088,1994-06-23
55,62177,brave scotland rebel bravery kingdom archer kelly macdonald julie walters billy connolly emma thompson kevin mckidd animation adventure comedy family action brenda chapman 2012 film films movies movie actor actress director,125.114374,6.7,3890393.9252178003,2012-06-21
8,767,harry potter and the half-blood prince witch magic broom school of witchcraft wizardry daniel radcliffe rupert grint emma watson tom felton michael gambon adventure fantasy family david yates 2009 film films movies movie actor actress director,98.885637,7.4,3873172.4071434,2009-07-07
20,1930,the amazing spider-man loss of father vigilante serum marvel comic scientific experiment andrew garfield emma stone rhys ifans denis leary campbell scott action adventure fantasy marc webb 2012 film films movies movie actor actress director,89.866276,6.5,3847085.4092840003,2012-06-27
2294,129,spirited away witch parents kids relationship magic twilight darkness rumi hiiragi miyu irino mari natsuki takashi naito yasuko sawaguchi fantasy adventure animation family hayao miyazaki 2001 film films movies movie actor actress director,118.968562,8.3,3791766.008064001,2001-07-20
1990,1891,the empire strikes back rebel android asteroid space battle snow storm mark hamill harrison ford carrie fisher billy dee williams anthony daniels adventure action science fiction irvin kershner 1980 film films movies movie actor actress director,78.51783,8.2,3785171.845074,1980-05-17
1818,424,schindler's list factory concentration camp hero holocaust world war ii liam neeson ben kingsley ralph fiennes caroline goodall jonathan sagall drama history war steven spielberg 1993 film films movies movie actor actress director,104.469351,8.3,3753656.9099757005,1993-11-29
2285,105,back to the future clock tower car race terrorist delorean lightning michael j. fox christopher lloyd lea thompson crispin glover thomas f. wilson adventure comedy science fiction family robert zemeckis 1985 film films movies movie actor actress director,76.60323299999997,8.0,3725368.427255999,1985-07-03
129,10195,thor new mexico banishment shield marvel comic hammer chris hemsworth natalie portman tom hiddleston anthony hopkins stellan skarsg\u00e5rd adventure fantasy action kenneth branagh 2011 film films movies movie actor actress director,86.493424,6.6,3724839.3045600005,2011-04-21
1553,807,se7en self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration brad pitt morgan freeman gwyneth paltrow john c. mcginley kevin spacey crime mystery thriller david fincher 1995 film films movies movie actor actress director,79.579532,8.1,3716085.616038,1995-09-22
571,16869,inglourious basterds paris guerrilla cinema self sacrifice dynamite brad pitt m\u00e9lanie laurent christoph waltz eli roth michael fassbender drama action thriller war quentin tarantino 2009 film films movies movie actor actress director,72.595961,7.9,3687657.0309170005,2009-08-18
183,101299,the hunger games: catching fire competition based on novel mentor secret factory jennifer lawrence josh hutcherson liam hemsworth woody harrelson elizabeth banks adventure action science fiction francis lawrence 2013 film films movies movie actor actress director,76.310119,7.4,3667693.249497,2013-11-15
1356,18785,the hangover underwear tiger stag night hangover lost weekend bradley cooper ed helms zach galifianakis justin bartha heather graham comedy todd phillips 2009 film films movies movie actor actress director,82.21166,7.2,3653946.555696,2009-06-05
191,673,harry potter and the prisoner of azkaban flying traitor magic cutting the cord child hero daniel radcliffe rupert grint emma watson gary oldman david thewlis adventure fantasy family alfonso cuar\u00f3n 2004 film films movies movie actor actress director,79.679601,7.7,3605733.0160929007,2004-05-31
79,10138,iron man 2 malibu marvel comic superhero based on comic book revenge robert downey jr. gwyneth paltrow don cheadle scarlett johansson mickey rourke adventure action science fiction jon favreau 2010 film films movies movie actor actress director,77.30019399999998,6.6,3494231.589459599,2010-04-28
81,102651,maleficent fairy tale villain sleeping beauty dark fantasy based on fairy tale angelina jolie elle fanning sharlto copley sam riley juno temple fantasy adventure action family romance robert stromberg 2014 film films movies movie actor actress director,110.620647,7.0,3481453.0023840005,2014-05-28
169,1771,captain america: the first avenger new york usa world war ii nazis marvel comic chris evans hugo weaving tommy lee jones hayley atwell sebastian stan action adventure science fiction joe johnston 2011 film films movies movie actor actress director,74.50624599999998,6.6,3465300.402709199,2011-07-22
690,497,the green mile southern usa black people mentally disabled based on novel heal tom hanks michael clarke duncan david morse bonnie hunt james cromwell fantasy drama crime frank darabont 1999 film films movies movie actor actress director,103.698022,8.2,3442110.6630591997,1999-12-10
2752,264660,ex machina dancing artificial intelligence distrust isolation technology domhnall gleeson alicia vikander oscar isaac sonoya mizuno corey johnson drama science fiction alex garland 2015 film films movies movie actor actress director,95.130041,7.6,3424795.6320491997,2015-01-21
102,131634,the hunger games: mockingjay - part 2 revolution strong woman dystopia game of death 3d jennifer lawrence josh hutcherson liam hemsworth woody harrelson elizabeth banks action adventure science fiction francis lawrence 2015 film films movies movie actor actress director,127.284427,6.6,3346867.6373087997,2015-11-18
3158,348,alien android countdown space marine space suit beheading tom skerritt sigourney weaver veronica cartwright harry dean stanton john hurt horror action thriller science fiction ridley scott 1979 film films movies movie actor actress director,94.184658,7.9,3325942.8279540003,1979-05-25
279,280,terminator 2: judgment day cyborg shotgun post-apocalyptic dystopia moral ambiguity arnold schwarzenegger linda hamilton robert patrick edward furlong michael edwards action thriller science fiction james cameron 1991 film films movies movie actor actress director,101.74155,7.7,3278570.5779750003,1991-07-01
57,10681,wall·e romantic comedy ben burtt elissa knight jeff garlin fred willard john ratzenberger animation family andrew stanton 2008 film films movies movie actor actress director,66.390712,7.8,3260368.1974656,2008-06-22
22,57158,the hobbit: the desolation of smaug elves dwarves orcs hobbit dragon martin freeman ian mckellen richard armitage ken stott graham mctavish adventure fantasy peter jackson 2013 film films movies movie actor actress director,94.370564,7.6,3244686.4796736,2013-12-11
126,76338,thor: the dark world marvel comic superhero based on comic book hostile takeover norse mythology chris hemsworth natalie portman tom hiddleston anthony hopkins christopher eccleston action adventure fantasy alan taylor 2013 film films movies movie actor actress director,99.499595,6.8,3217219.9047299996,2013-10-29
113,675,harry potter and the order of the phoenix prophecy witch loss of lover magic cutting the cord daniel radcliffe rupert grint emma watson michael gambon ralph fiennes adventure fantasy family mystery david yates 2007 film films movies movie actor actress director,78.14439499999997,7.4,3177007.265361999,2007-06-28
342,607,men in black secret identity sun glasses undercover space marine illegal immigration tommy lee jones will smith linda fiorentino vincent d'onofrio rip torn action adventure comedy science fiction barry sonnenfeld 1997 film films movies movie actor actress director,104.121555,6.9,3169751.674554,1997-07-02
85,100402,captain america: the winter soldier washington d.c. future shield marvel comic superhero chris evans samuel l. jackson scarlett johansson robert redford sebastian stan action adventure science fiction anthony russo 2014 film films movies movie actor actress director,72.22526500000002,7.6,3163928.848696001,2014-03-20
44,168259,furious 7 car race speed revenge suspense car vin diesel paul walker dwayne johnson michelle rodriguez tyrese gibson action james wan 2015 film films movies movie actor actress director,102.322217,7.3,3119272.3208016,2015-04-01
322,18,the fifth element clone taxi cyborg egypt future bruce willis gary oldman ian holm milla jovovich chris tucker adventure fantasy action thriller science fiction luc besson 1997 film films movies movie actor actress director,109.528572,7.3,3106285.066206,1997-05-07
3719,510,one flew over the cuckoo's nest individual rebel self-destruction wheelchair lunatic asylum jack nicholson louise fletcher danny devito william redfield scatman crothers drama milo\u0161 forman 1975 film films movies movie actor actress director,127.525581,8.2,3052426.8016997995,1975-11-18
45,72190,world war z dystopia apocalypse zombie nuclear weapons multiple perspectives brad pitt mireille enos abigail hargrove sterling jerins james badge dale action drama horror science fiction thriller marc forster 2013 film films movies movie actor actress director,81.834855,6.7,3048512.0184600004,2013-06-20
828,24,kill bill: vol. 1 japan coma martial arts kung fu underworld uma thurman lucy liu vivica a. fox daryl hannah david carradine action crime quentin tarantino 2003 film films movies movie actor actress director,79.75496600000002,7.7,3039246.4158518007,2003-10-10
628,857,saving private ryan war crimes self sacrifice war veteran world war ii war ship tom hanks matt damon vin diesel tom sizemore barry pepper drama history war steven spielberg 1998 film films movies movie actor actress director,76.04186700000002,7.9,3032488.822466401,1998-07-24
2,206647,spectre spy based on novel secret agent sequel mi6 daniel craig christoph waltz l\u00e9a seydoux ralph fiennes monica bellucci action adventure crime sam mendes 2015 film films movies movie actor actress director,107.376788,6.3,3021131.8318104004,2015-10-26
2334,194662,birdman times square superhero long take new york city play michael keaton emma stone zach galifianakis naomi watts edward norton drama comedy alejandro gonz\u00e1lez i\u00f1\u00e1rritu 2014 film films movies movie actor actress director,89.811154,7.4,3013972.517086,2014-08-27
1541,862,toy story jealousy toy boy friendship friends tom hanks tim allen don rickles jim varney wallace shawn animation comedy family john lasseter 1995 film films movies movie actor actress director,73.640445,7.7,2987688.5862285,1995-10-30
339,9806,the incredibles secret identity secret hero island wretch craig t. nelson holly hunter samuel l. jackson jason lee dominique louis action adventure animation family brad bird 2004 film films movies movie actor actress director,77.817571,7.4,2966779.3308608,2004-11-05
159,557,spider-man loss of lover spider thanksgiving bad boss hostility tobey maguire willem dafoe kirsten dunst james franco cliff robertson fantasy action sam raimi 2002 film films movies movie actor actress director,82.502566,6.8,2953756.867932,2002-05-01
2730,44214,black swan dancing competition sex dancer obsession natalie portman mila kunis vincent cassel barbara hershey winona ryder drama thriller darren aronofsky 2010 film films movies movie actor actress director,91.285683,7.3,2952087.702537,2010-12-02
74,137113,edge of tomorrow deja vu time warp restart dystopia war tom cruise emily blunt brendan gleeson bill paxton jonas armstrong action science fiction doug liman 2014 film films movies movie actor actress director,79.456485,7.6,2933596.991388,2014-05-27
2731,240,the godfather: part ii italo-american cuba vororte melancholy praise al pacino robert duvall diane keaton robert de niro john cazale drama crime francis ford coppola 1974 film films movies movie actor actress director,105.792936,8.3,2931035.6090544,1974-12-20
790,190859,american sniper sniper biography iraq navy seal u.s. soldier bradley cooper sienna miller kyle gallner cole konis ben reed war action clint eastwood 2014 film films movies movie actor actress director,87.53437,7.4,2894814.1365219997,2014-12-11
932,752,v for vendetta detective vatican fascism satanism fascist natalie portman hugo weaving stephen rea stephen fry john hurt action thriller fantasy james mcteigue 2006 film films movies movie actor actress director,84.630969,7.7,2894666.8850946,2006-03-15
519,75656,now you see me paris bank secret fbi vault jesse eisenberg mark ruffalo woody harrelson m\u00e9lanie laurent isla fisher thriller crime louis leterrier 2013 film films movies movie actor actress director,71.124686,7.3,2848906.4101985996,2013-05-29
2105,76203,12 years a slave whip kidnapping slavery plantation night shift chiwetel ejiofor michael fassbender lupita nyong'o benedict cumberbatch paul dano drama history steve mcqueen 2013 film films movies movie actor actress director,95.9229,7.9,2784123.80334,2013-10-18
631,425,ice age human evolution parents kids relationship squirrel ice loss of child ray romano john leguizamo denis leary goran visnjic jack black animation comedy family adventure chris wedge 2002 film films movies movie actor actress director,99.561972,7.1,2726474.7346284,2002-03-10
1532,120467,the grand budapest hotel hotel painting wartime gunfight theft ralph fiennes tony revolori f. murray abraham mathieu amalric adrien brody comedy drama wes anderson 2014 film films movies movie actor actress director,74.417456,8.0,2690339.869312,2014-02-26
1337,8966,twilight soulmates vampire forbidden love immortality trust kristen stewart robert pattinson billy burke taylor lautner peter facinelli adventure fantasy drama romance catherine hardwicke 2008 film films movies movie actor actress director,127.084938,5.8,2624786.8924644,2008-11-20
134,177677,mission: impossible - rogue nation london england spy austria villain sequel tom cruise rebecca ferguson simon pegg jeremy renner ving rhames action adventure thriller christopher mcquarrie 2015 film films movies movie actor actress director,114.52223700000002,7.1,2621459.8138248003,2015-07-23
1196,1124,the prestige competition secret obsession magic dying and death hugh jackman christian bale michael caine scarlett johansson andy serkis drama mystery thriller christopher nolan 2006 film films movies movie actor actress director,74.440708,8.0,2614953.190624,2006-10-19
1725,78,blade runner artificial intelligence man vs machine cyborg bounty hunter android harrison ford rutger hauer sean young edward james olmos m. emmet walsh science fiction drama thriller ridley scott 1982 film films movies movie actor actress director,94.056131,7.9,2607339.4130641,1982-06-25
400,157350,divergent based on novel dystopia youth dystopic future caste system shailene woodley theo james kate winslet miles teller ray stevenson adventure action science fiction neil burger 2014 film films movies movie actor actress director,80.316463,6.9,2584158.1020861003,2014-03-14
47,54138,star trek into darkness spacecraft friendship sequel futuristic space chris pine zachary quinto zoe saldana karl urban simon pegg action adventure science fiction j.j. abrams 2013 film films movies movie actor actress director,78.29101800000002,7.4,2559583.909677601,2013-05-05
1815,8681,taken paris kidnapping human trafficking rescue prostitution liam neeson famke janssen maggie grace katie cassidy holly valance action thriller pierre morel 2008 film films movies movie actor actress director,80.879032,7.2,2544195.5338176,2008-02-18
